Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/chat/completions [200/200],83073,78858,7,32.15417293870398,0.42308899992349325,1149.6964379994097,34.24609680642327,576.2689100028813,547.0298858233989,7,7,8,8,8,210,480,650,830,1100,1100
,Aggregated,83073,78858,7,32.15417293870398,0.42308899992349325,1149.6964379994097,34.24609680642327,576.2689100028813,547.0298858233989,7,7,8,8,8,210,480,650,830,1100,1100
