Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/chat/completions [200/200],296,296,1000.0,12088.748962138507,1.0033369999291608,136336.913397,0.0,1.1899353725726916,1.1899353725726916,1000,2000,3100,5100,36000,68000,135000,136000,136000,136000,136000
,Aggregated,296,296,1000.0,12088.748962138507,1.0033369999291608,136336.913397,0.0,1.1899353725726916,1.1899353725726916,1000,2000,3100,5100,36000,68000,135000,136000,136000,136000,136000
