Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/chat/completions [200/200],5215,0,410.0,437.2116571881118,125.74018800023623,1072.3449759998402,660.7495685522531,43.82275809173857,0.0,410,420,430,440,580,680,750,810,1100,1100,1100
,Aggregated,5215,0,410.0,437.2116571881118,125.74018800023623,1072.3449759998402,660.7495685522531,43.82275809173857,0.0,410,420,430,440,580,680,750,810,1100,1100,1100
