Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/chat/completions [200/200],702,702,1000.0,15725.339771425877,0.6125060008344008,136254.81957999908,0.0,1.171233417103532,1.171233417103532,1000,1000,3100,7200,36000,135000,135000,136000,136000,136000,136000
,Aggregated,702,702,1000.0,15725.339771425877,0.6125060008344008,136254.81957999908,0.0,1.171233417103532,1.171233417103532,1000,1000,3100,7200,36000,135000,135000,136000,136000,136000,136000
