Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/chat/completions [200/200],2438,0,450.0,468.8754116804752,120.99353099984,1115.7909060002567,654.3835110746513,41.318606208272506,0.0,450,450,460,480,590,670,780,850,1100,1100,1100
,Aggregated,2438,0,450.0,468.8754116804752,120.99353099984,1115.7909060002567,654.3835110746513,41.318606208272506,0.0,450,450,460,480,590,670,780,850,1100,1100,1100
