Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/chat/completions [200/200],27174,0,420.0,436.2852599027392,126.26359099999718,1091.3845260001835,654.6341723706485,45.332235109959484,0.0,420,420,430,430,460,600,750,780,960,1100,1100
,Aggregated,27174,0,420.0,436.2852599027392,126.26359099999718,1091.3845260001835,654.6341723706485,45.332235109959484,0.0,420,420,430,430,460,600,750,780,960,1100,1100
